New Repo Check

Env. variable "spring.datasource.url=${JDBC_DATABASE_URL}" in file "\main\resources\application.properties"
Env. variable "spring.datasource.username=${JDBC_USERNAME}" in file "\main\resources\application.properties"
Env. variable "spring.datasource.password=${JDBC_PASSWORD}" in file "\main\resources\application.properties"
Env. variable "app.secret-key=${TOKEN_SECRET}" in file "\main\resources\application.properties"
Annotation "@SpringBootApplication" in file "\main\java\dk\kea\QuickbookApplication.java"
Annotation "@ExtendWith" in file "\test\java\dk\kea\quickbook\repository\GuestRepositoryTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\repository\GuestRepositoryTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\repository\GuestRepositoryTest.java"
Annotation "@Mock" in file "\test\java\dk\kea\quickbook\repository\GuestRepositoryTest.java"
Annotation "@ExtendWith" in file "\test\java\dk\kea\quickbook\repository\ReservationRepositoryTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\repository\ReservationRepositoryTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\repository\ReservationRepositoryTest.java"
Annotation "@Mock" in file "\test\java\dk\kea\quickbook\repository\ReservationRepositoryTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\repository\ReservationRepositoryTest.java"
Annotation "@RestController" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@PostMapping" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@RequestMapping" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\repository\ReservationRepositoryTest.java"
Annotation "@GetMapping" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@GetMapping" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@RequestParam" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@GetMapping" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@RequestBody" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@PatchMapping" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@DeleteMapping" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@RequestBody" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@RestController" in file "\main\java\dk\kea\quickbook\api\GuestController.java"
Annotation "@PathVariable" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@RequestMapping" in file "\main\java\dk\kea\quickbook\api\GuestController.java"
Annotation "@RequestBody" in file "\main\java\dk\kea\quickbook\api\GuestController.java"
Annotation "@PostMapping" in file "\main\java\dk\kea\quickbook\api\GuestController.java"
Annotation "@PathVariable" in file "\main\java\dk\kea\quickbook\api\HotelController.java"
Annotation "@ExtendWith" in file "\test\java\dk\kea\quickbook\repository\RoomRepositoryTest.java"
Annotation "@Mock" in file "\test\java\dk\kea\quickbook\repository\RoomRepositoryTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\repository\RoomRepositoryTest.java"
Annotation "@Test" in file "\test\java\dk\kea\quickbook\repository\RoomRepositoryTest.java"
